"number","street","price","bed","bath","year_built","cooling","lot","heating_other","heating_gas","heating_forced_air","heating_heat_pump","heating_electric","parking_carport","parking_covered","parking_garage_attached","parking_off_street","parking_garage","parking_garage_detached","parking_on_street"
"1","Learned",1520000,3,4,1972,"central",0.97,"yes","yes","no","no","no","no","no","no","no","no","no","no"
"1616","Pinecrest",1030000,5,4,1969,"central",1.38,"no","yes","yes","no","no","yes","yes","no","no","no","no","no"
"2418","Wrightwood",420000,2,3,1959,"central",0.51,"no","yes","yes","no","no","no","yes","yes","no","no","no","no"
"2527","Sevier",680000,4,3,1961,"central",0.84,"yes","yes","no","yes","yes","yes","yes","no","no","no","no","no"
"2218","Myers",428500,4,3,2020,"central",0.16,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"2619","Vesson",456000,3,3,2014,"central",0.45,"no","yes","yes","no","yes","no","yes","no","yes","no","no","no"
"1803","Woodburn",1270000,5,5,1968,"central",0.94,"no","yes","yes","no","no","yes","yes","yes","no","no","no","no"
"19","Learned",557450,4,3,1973,"central",0.79,"no","yes","no","yes","no","yes","yes","no","no","no","no","no"
"2827","Mcdowell",697500,4,5,1972,"central",0.53,"yes","yes","no","no","yes","no","yes","no","no","no","no","no"
"2709","Mcdowell",650000,3,2,1964,"other",0.73,"no","yes","yes","no","yes","no","no","no","no","no","no","no"
"2819","Mcdowell",540000,4,3,1977,"central",0.58,"no","yes","yes","no","yes","no","no","no","no","no","no","no"
"2743","Sevier",546000,4,3,1962,"other",0.52,"no","no","no","yes","yes","no","yes","yes","no","no","no","no"
"2750","Mcdowell",671500,3,3,1964,"central",0.51,"yes","yes","no","no","yes","yes","yes","no","no","no","no","no"
"1723","Tisdale",580000,5,4,1981,"central",0.45,"no","yes","yes","no","yes","no","no","no","no","no","no","no"
"15","Upchurch",631500,4,4,1985,"central",0.45,"no","yes","yes","yes","yes","no","yes","no","no","no","no","no"
"2906","Montgomery",610000,5,4,1983,"central",0.48,"no","no","yes","no","yes","no","yes","yes","no","no","no","no"
"2228","Cranford",452500,3,2.5,1941,"other",0.61,"yes","no","no","no","no","no","no","no","no","no","no","no"
"2251","Cranford",9e+05,4,4,1945,"central",0.63,"no","yes","yes","no","yes","no","yes","no","no","yes","yes","no"
"2409","Wrightwood",785000,4,3,1960,"central",0.41,"yes","yes","no","no","no","no","yes","yes","no","no","no","no"
"1001","Norwood",290000,3,2.5,1956,"other",0.48,"yes","no","no","no","no","no","no","no","no","no","no","no"
"1601","Anderson",270000,3,3,1990,"other",0.36,"no","no","no","no","no","no","no","no","no","no","no","no"
"2612","Mcdowell",645000,4,4,1969,"central",0.47,"yes","yes","no","no","no","no","yes","yes","no","no","no","yes"
"2809","Mcdowell",525000,3,2,1978,"central",0.54,"no","yes","yes","yes","no","no","yes","yes","no","no","no","no"
"1804","Woodburn",652000,4,2,1968,"central",0.69,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"4","Womble",689000,4,3,1984,"central",0.43,"no","no","yes","yes","yes","no","yes","yes","no","yes","no","no"
"2727","Spencer",603000,4,4,1965,"central",0.61,"yes","yes","no","no","no","no","yes","yes","no","no","no","no"
"2413","Perkins",385000,3,2,1951,"central",0.29,"no","yes","yes","no","no","no","no","no","no","no","no","no"
"1020","Norwood",342500,3,2,1960,"central",0.27,"no","yes","yes","no","yes","no","no","no","no","no","no","no"
"1017","Anderson",305000,4,3,1955,"central",0.28,"no","yes","yes","no","no","no","no","no","yes","no","no","no"
"2429","Wrightwood",801000,4,2.5,1959,"other",0.69,"yes","no","no","no","no","no","no","no","no","no","no","no"
"2732","Dogwood",462000,4,3,1956,"central",0.63,"no","yes","yes","no","no","yes","yes","no","no","no","no","no"
"2300","Elmwood",475000,4,3,1988,"other",0.76,"yes","no","no","no","no","no","no","no","no","no","no","no"
"2630","Pickett",265000,3,2,1938,"central",0.42,"yes","yes","no","no","no","no","no","no","yes","yes","yes","no"
"1118","Woodburn",415000,4,3,1955,"central",0.56,"no","yes","yes","no","yes","yes","yes","yes","no","no","no","no"
"2510","Wrightwood",6e+05,4,3,1953,"central",0.59,"no","yes","yes","no","no","no","yes","no","yes","no","no","no"
"4","Learned",1250000,6,5,2009,"central",0.62,"no","yes","yes","no","no","no","yes","yes","no","no","no","no"
"2742","Circle",615000,3,3,1954,"other",0.63,"no","no","no","yes","yes","no","no","no","no","no","no","no"
"2722","Mcdowell",481000,4,3,1961,"other",0.5,"yes","no","yes","no","no","no","no","no","no","no","no","no"
"1114","Woodburn",465000,4,3,1957,"other",0.61,"no","no","yes","yes","yes","no","no","yes","no","no","no","no"
"2719","Montgomery",535000,3,2,1969,"central",0.59,"no","yes","yes","yes","no","yes","yes","no","no","yes","no","no"
"2409","Perkins",368000,3,2,1957,"central",0.29,"no","yes","no","yes","yes","no","no","no","no","no","no","no"
"1129","Anderson",535000,3,3,1957,"other",0.57,"no","yes","yes","no","no","no","no","no","no","no","no","no"
